,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.46602328485123,15.819049238256861,0.7880387181995325,1.0341824183883985,-26.362206844890945,5.283217626280343,2.112343408701123,0.9867971227124199
New Portfolio,16.094959320535306,14.912702085432523,0.8110508244076217,0.953482862954134,-22.284275850023207,5.472643971131228,1.2975966652946278,0.9650896363462093
Amgen Inc. (Standalone),11.1090637014982,23.59914804796932,0.30124238752381266,0.4692855303485491,-23.106317506878902,3.8496902070949526,0.006849818241289444,0.3001593947137321
