Ticker,Current Price,DCF Value,MC Mean,MC P10 (Bear),MC P90 (Bull),Margin of Safety (%),Win Probability (%)
BMY,55.05,260.72317857838027,250.50450699266307,201.8311868645302,275.25,355.0490590239112,100.0
MRK,110.27,308.66540922924037,321.87706815458915,233.9947862951391,427.77505910349487,191.8990370495957,100.0
MCK,831.21,1772.9363806576318,2308.7902757994852,1064.6524821893895,4156.05,177.76257212972476,99.44
ELV,345.74,802.6422031502856,873.1806083538145,238.8593331915498,1728.7,152.55411822578077,76.73
AMGN,341.88,780.427858823354,809.8879268218155,585.9533965177106,1069.6270236497007,136.89245548783651,100.0
COR,359.22,463.5904304690379,822.5045513351165,404.42445250359674,1751.969656122108,128.96958725436122,97.22
GILD,141.95,245.77719068217647,262.28307469670455,203.44443978958492,332.2230658583109,84.77145100155306,99.99
UTHR,469.49,657.0958702160776,665.0977603166083,544.5377016090201,796.1773618319233,41.66388215225207,99.15
JNJ,227.25,271.16145166308314,282.6485123253824,207.44795403398788,369.6200762759227,24.377783201488405,79.86999999999999
RMD,258.31,282.6108580230062,287.0286323999395,231.84179244019438,347.35617723683185,11.117894158158611,71.85000000000001
ZTS,124.82,80.67195878298162,84.59824957652323,68.36446492361448,102.92956026382794,-32.22380261454636,0.8999999999999999
HCA,488.27,279.4387906502796,292.03046074910674,127.31174833002426,467.3885548379808,-40.19078363423787,7.8524507326932795
A,133.85,51.18892117614309,53.16671177921201,41.75423479482501,65.63660775360165,-60.27888548433917,0.0
DXCM,73.04,23.815976602566344,24.172358661723642,17.66926541341156,31.161176212737807,-66.90531398997311,0.0
IDXX,670.46,132.0876557831638,133.53148471229537,106.54981532808686,162.35773842784798,-80.0836016000514,0.0
EW,81.36,12.537361735485977,12.756720636052531,7.979316456560699,17.63182462872572,-84.32064818577614,0.0
VRTX,469.9,48.912977902551376,59.2237882122312,29.053839042127397,104.90827740662252,-87.39651240429215,0.0
ISRG,504.22,58.263380033468195,58.814948158775074,47.4074237249864,71.20010779572063,-88.33545909349588,0.0
LLY,1037.15,0.0,33.97106283159989,3.9394679801580224,72.31539516479302,-96.7245757285253,0.0
