,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.466021479920133,15.819049128798992,0.7880386095536814,1.0341824126199803,-26.36220169686405,5.2832158614131455,2.112343397389604,0.9867971312497134
New Portfolio,16.096863727669543,15.884103258800112,0.7615704538414931,1.0382548394367526,-26.168095650862032,4.885773495284463,1.9419252364689876,0.9866255721948594
Agilent Technologies Inc. (Standalone),2.3716428340787354,27.976487325340937,-0.05820448961247213,1.1699299731790456,-41.82922142849491,-9.753983247031266,-0.392394247084562,0.6312156942600454
