,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.466022421274463,15.819048427121537,0.7880387040159533,1.0341821679926082,-26.362205255012665,5.283218501801265,2.112350998677594,0.9867972174762261
New Portfolio,16.04705794045964,15.948402263991095,0.7553771055587143,1.0412226017940913,-26.28894352403661,4.8153554254882796,1.8347638047728754,0.9854568942011113
DexCom Inc. (Standalone),-6.599446843504342,47.810038874100655,-0.2216991889802919,1.2688632947087113,-65.973768740609,-19.412203946249658,-0.3988030370334499,0.4005963281621208
