,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.466023701769373,15.81904701544855,0.7880388552859925,1.0341814941794456,-26.362209120096825,5.283224462194913,2.112355859645774,0.986797251733362
New Portfolio,15.267055009059515,13.687225668387427,0.8231803348637967,0.8651496367359051,-21.06253501896522,5.258248829641918,0.9441556861510407,0.9540854832364994
Johnson & Johnson (Standalone),9.756744988003852,16.285165583753674,0.35349625144412816,0.29795384842536077,-17.433329636173507,3.6873377437792523,-0.0628859569536401,0.2761647897565007
