,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.466022482148368,15.819047656601763,0.7880387462481614,1.0341820414054188,-26.362207049738235,5.283223487070537,2.1123519130708024,0.9867972043248507
New Portfolio,16.399425308667205,15.569568916209203,0.79638847905149,1.0172351184034136,-25.32801734881689,5.334329325858899,2.1036529592848874,0.98617958924325
Amgen Inc. (Standalone),11.10906370149818,23.599152923272936,0.3012423252907262,0.46928460800520794,-23.106302671228224,3.8496984487381063,0.006849977984258105,0.3001588469931321
