,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.46602218872859,15.81904814322714,0.7880387034580121,1.0341820775875785,-26.36220627979809,5.283216874555024,2.112347586095826,0.9867971804603084
New Portfolio,17.729670105214357,15.459590553045576,0.8881005003401967,0.9903036421259855,-23.45142388521756,6.851617954184311,1.718709348129025,0.9669001539431212
United Therapeutics Corporation (Standalone),22.56844101793756,34.58125934953794,0.5369509777030621,0.6246500132793761,-31.424389350705024,14.229998559770188,0.34438626257122534,0.2726510591510519
