Allocation (%),Is Optimal,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Alpha (%),"VaR (95%, period)","VaR (95%, annualized)",Max Drawdown (%),Correlation vs ACWI,Tracking Error (%),Information Ratio,Return Change (%),Vol Change (%),Sharpe Change,VaR Ann. Change (%),Max DD Change (%)
0.5,No,16.541413276023743,15.767128995050994,0.7954151500859957,1.0307883814729064,5.382184577254464,-2.8638841327216027,-20.65176217503091,-26.218119887864216,0.9867979116102701,2.5955311321061125,2.1560218893577776,0.07539151184863258,-0.05192049303509805,0.007376540461332293,0.045814004125883656,0.1440868575918408
1.0,No,16.61670734319769,15.715836936675453,0.8028021284539137,1.0273947417581117,5.481044781668137,-2.8623901698974934,-20.640989055898984,-26.073821404707925,0.986759181550886,2.582308478911228,2.1962178946959194,0.15068482266919858,-0.10321145602048887,0.014763416448685396,0.05661251960268032,0.28838290486195106
1.5,No,16.69190290408602,15.665182019034138,0.8101982401905445,1.0240015896721317,5.579807124944386,-2.855793461216795,-20.593419513103868,-25.929317988765423,0.9866801705230009,2.573913377224444,2.23259558878196,0.225879705037201,-0.15386690863398123,0.022159511942775656,0.10416164085882329,0.4328884948578384
2.0,No,16.7669976500731,15.615167060633201,0.8176023734167718,1.0206076688956784,5.6784739921785485,-2.833480602652313,-20.43251920179104,-25.78460416955376,0.9865599698720827,2.5704025856892665,2.2648601547076943,0.3009759310586233,-0.20388025154452905,0.029563658252303227,0.265070386272523,0.5776030768340661
2.5,No,16.84199563824933,15.565801174069632,0.8250134698907906,1.0172145923609368,5.77703823800948,-2.8236158387707078,-20.361383377800095,-25.639679856558274,0.9863980556844828,2.5717763057976977,2.292812315273473,0.3759732874377235,-0.2532457797987657,0.0369746969378375,0.3361839019365789,0.7225275251473064
3.0,No,16.91689354020678,15.51709214001342,0.8324300341620325,1.0138212340778783,5.875506337253239,-2.813753033997251,-20.290261681138915,-25.494547697548438,0.9861934669171453,2.5780425269465534,2.3162923735160197,0.45087164538555413,-0.3019568368161778,0.044391390809932374,0.40731283323816214,0.8676617924566692
3.5000000000000004,No,16.991691687326636,15.469040136238924,0.8398511848767742,1.010427134077933,5.973875867619985,-2.8026449431916283,-20.21016009919455,-25.349203336957615,0.9859455154102644,2.5891569499313443,2.335237512464864,0.5256704437444952,-0.3500077875430687,0.05181253023429033,0.4874188686064862,1.0130057947023055
4.0,No,17.06639262714289,15.421656291138937,0.8472755701766386,1.0070337895582386,6.07214492635236,-2.7905489522196123,-20.12293466784024,-25.203647382933713,0.985653451112965,2.6050582997489826,2.349658499214718,0.6003696452864027,-0.39739202873050417,0.05923682538068287,0.5746339311034134,1.1585610462275966
4.5,No,17.140990292285196,15.37494834271293,0.8547014272417679,1.0036402591206528,6.1703139645508,-2.7784520246734274,-20.03570248275356,-25.057883338130903,0.9853163389306339,2.6256740727214463,2.3596215007078563,0.6749691427114541,-0.44410352056934066,0.06666297479135774,0.6618672602094691,1.304323756952698
5.0,No,17.21549134558431,15.328913982522337,0.8621283517313946,1.0002463605584302,6.268385021943635,-2.766355865841959,-19.948475840947527,-24.911901925858583,0.9849336648000137,2.6508711950188575,2.3652963996056697,0.7494686473601426,-0.49013570952586427,0.07408969322142767,0.7491167515175228,1.4502991630655373
