,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.466023057152633,15.81904761334603,0.7880387847518359,1.0341820690294248,-26.362205750482747,5.283219825017859,2.112348774363601,0.9867971806828039
New Portfolio,16.321519725966805,15.48474690788282,0.7957198008637962,1.0120952328251027,-25.680823184762215,5.29211830114138,2.1201583448237824,0.9865713457703734
Johnson & Johnson (Standalone),9.75674029270297,16.28516332542129,0.3534960121472436,0.29795419555199393,-17.433312705281658,3.6873306375467014,-0.06288623531648668,0.2761649868424788
