,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.466022277632785,15.819047848597828,0.7880387237552828,1.0341822384252537,-26.362207560768137,5.283217868977025,2.1123421189611467,0.9867971029306282
New Portfolio,17.33913846999451,15.288732883782385,0.8724816223419063,0.9211128447454009,-16.73803279588317,6.941645691370557,0.9882709365678407,0.9093948204553899
Vertex Pharmaceuticals Incorporated (Standalone),16.898361222013804,27.018651821065827,0.4773872992418239,0.5524083001371862,-29.06683913148041,9.061667236971829,0.22402275175902006,0.30860833496312956
