,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.466022728282258,15.819047700471122,0.7880387596221102,1.034182282452847,-26.362205664020827,5.283220036436664,2.1123520888429894,0.9867972226398417
New Portfolio,16.454697984065557,15.478653181199492,0.804637059714804,1.0114592956103805,-25.121320534525797,5.429715372710739,2.1557862180311615,0.9863394451163174
Merck & Co. Inc. (Standalone),12.30986915390222,23.979924411323996,0.34653441818098746,0.29189804559892624,-40.718730651008045,6.282522424755338,0.05271969144801079,0.18373611884209726
