,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Max Drawdown (%),Alpha (%),Information Ratio,Correlation vs ACWI
Original Portfolio,16.46602345312489,15.81904788777933,0.7880387961120752,1.0341819551123481,-26.36220160460144,5.2832230347878015,2.1123467208410953,0.9867971389701179
New Portfolio,16.715962665647833,15.462672818796728,0.8223651120775225,1.0071436189973595,-23.732384467904215,5.720954125710695,2.039821356023335,0.9831462015531107
Vertex Pharmaceuticals Incorporated (Standalone),16.898361222013804,27.018651821065827,0.4773872992418239,0.5524079661543667,-29.06683913148041,9.061670636984905,0.22402280358789478,0.3086082449584413
